number,name,is_ans,name_object,date_norm,date_buckets_2,author_norm,address,district,district_norm,protection_category_norm,base,id_object
5509,Ансамбль жилых домов,1,Жилой дом,1954,1950-1999,Г.И. Иванов;Я.Е. Москаленко,"г. Петергоф, Санкт-Петербургский пр., 29, лит. А",Петродворцовый,14,1,Распоряжение КГИОП № 10-643 от 25.11.2016,10819
5510,,0,Флигель дома Гербольдта,1850,1850-1899,,"г. Петергоф, Санкт-Петербургский пр., 25а (б. Красный пр., 25а)",Петродворцовый,14,1,Решение исполкома Ленгорсовета № 608 от 16.07.1990,6346
5511,,0,Жилой дом,1950,1950-1999,,"г. Петергоф, Санкт-Петербургский пр., 26 (б. Красный пр.)",Петродворцовый,14,1,Решение исполкома Ленгорсовета № 608 от 16.07.1990,6347
5512,,0,Жилой дом,1950,1950-1999,,"г. Петергоф, Санкт-Петербургский пр., 28 (б. Красный пр.)",Петродворцовый,14,1,Решение исполкома Ленгорсовета № 608 от 16.07.1990,6348
5513,,0,Жилой дом,1951,1950-1999,Л.М. Гольдвассер,"г. Петергоф, Санкт-Петербургский пр., 30",Петродворцовый,14,2,Приказ председателя КГИОП № 15 от 20.02.2001,6716
5514,,0,Б. Собор Петра и Павла со зданием б. Церковно-приходной школы,1894,1850-1899,Султанов Н.В.;Севастьянов Е.П,"г. Петергоф, Санкт-Петербургский пр., 32 (б. Красный пр.)",Петродворцовый,14,1,Решение исполкома Ленгорсовета № 650 от 25.08.1975,10565
5515,Б. Собор Петра и Павла со зданием б. Церковно-приходной школы,1,Б. Собор Петра и Павла,1894,1850-1899,Султанов Н.В.;Севастьянов Е.П,"г. Петергоф, Санкт-Петербургский пр., 32 (б. Красный пр.)",Петродворцовый,14,1,Решение исполкома Ленгорсовета № 650 от 25.08.1975,6351
5516,Б. Собор Петра и Павла со зданием б. Церковно-приходной школы,1,Здание б. Церковно-приходной школы,1894,1850-1899,Султанов Н.В,"г. Петергоф, Санкт-Петербургский пр., 32 (б. Красный пр.)",Петродворцовый,14,1,Решение исполкома Ленгорсовета № 650 от 25.08.1975,6372
5517,,0,Жилой дом,1850,1850-1899,,"г. Петергоф, Санкт-Петербургский пр., 37",Петродворцовый,14,2,Приказ председателя КГИОП № 15 от 20.02.2001,6718
5518,,0,Усадьба Хрущева (2 дома),1870,1850-1899,,"г. Петергоф, Санкт-Петербургский пр., 40/16 (б. Красный пр.), ул. Правленская , 18 (б. Советская ул.)",Петродворцовый,14,1,Решение исполкома Ленгорсовета № 608 от 16.07.1990,6355
